Subj,Condition,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
109,3,7,60.277,"Sue sees three stores, Newstopia, and two others that I can't remember the names. Sue's friend, Bob, tells her that she can buy Italian newspapers at all three stores. Sue knows Bob to be a good source of information, and Bob turned out to be right. You can buy Italian newspapers at all three stores.  ",21,24,2,,,,,,1,,,5,8
110,3,6,35.759,"Bob told Sue that the three shops all sold Italian newspapers, and he was correct. Now when Sue wants an Italian newspaper she knows she should go there.",21,68,2,,,,,,1,,,6,8
116,3,7,46.134,Sue is on a street standing bear three stores that sell newspapers. She was informed by the stores from a friend who is well informed,21,27,2,,,,,,1,,,4,7
119,3,7,61.977,"Sue is standing on a street and there are 3 stores nearby that her friend--whom she trusts--has assured her that all 3 sell Italian newspapers:  Newstopia, Cellulose City and PaperWorld",21,50,2,,,,,,1,,,6,6
122,3,7,24.284,There were three stores that Bob explained all sell Italian newspapers ,21,32,2,,,,,,1,,,4,7
126,3,6,32.836,"Sue saw three stores, and asked her friend Bob, who knows the city.  He said they all sell Italian newspapers.  He was correct.",21,21,1,,,,,,1,,,4,6
131,3,6,49.878,Sue was told by her friend that 3 stores all sold italian papers and she was correct,21,35,2,,,,,,1,,,2,8
138,3,7,52.268,"Sue is near 3 paper stores, PaperWorld, Cellulose City and Newstopia. Her friend Bob tells her they are all sell Italian newspapers, which she later finds out they all do.",21,28,1,,,,,,1,,,2,7
139,3,7,35.056,"Sue believed her friend Bob, who was correct, that three paper stores sold Italian paper.",21,21,1,,,1,,,,,,4,7
144,3,6,28.895,Someone told Sue that all 3 stores sold Italian magazines and they were right.,21,31,1,,,,,,1,,,5,4
148,3,7,173.134,sue has a friend named bob who was born in the city and knows a lot. ,21,34,1,,,,,,1,,,5,8
151,3,7,21.089,A woman is in front of three newspaper stores in search for an Italian newspaper. Her friend is a well-knowledged member of the city and informs her that all of them sell italian newspapers. she trusts him.,21,27,1,,,,,,1,,,4,5
152,3,7,20.031,Sue was standing on street by 3 stores looking for newspaper. A guy named Bob who is her friend told her they do sell Italian papers,21,31,2,,1,,,,,,,5,9
157,3,1,91.777,Sue is standing between 3 stores and her friend Bob told her that she could buy Italian newspaper at the 3 stores. She has no reason to doubt Bob.,21,45,2,,,,,,1,,,8,1
163,3,7,43.168,"Three stores listed and the guy says all three sell Italian Newspapers. Sue believes him, and it turns out to be true.",21,40,1,,,,,,1,,,4,
165,3,2,33.931,Sue believed that some newspaper companies sold italian newspapers because someone told her that was the case. They infact did sell italian newspapers.,21,26,1,,,,,,1,,,8,4
170,3,7,20.322,Sue was told by a trustworthy native of the city that all three stores sell Italian newspapers. ,21,27,1,,,,,,1,,,2,6
175,3,6,35.913,"Sue is near three stores that, according to her friend, Bob, all sell Italian newspapers. Sue's friend is from this town and is usually well-informed, so Sue trusts that he is right.",21,23,3,non-binary,,,,,1,,,5,6
177,3,7,26.591,"Sue is standing near 3 news stores, and her friend tells her all sell Italian Newspapers.",21,29,2,,,,,,1,,,2,6
179,3,7,24.894,Bob told Sue you can buy Italian newspapers at three different locations.,21,25,2,,,,,,1,,,2,8
185,3,7,57.375,"Sue doesn't know where to get an itialian newspaper, Bob tells her you can get it at all three stores",21,27,1,,,,,1,,,,4,8
186,3,7,18.393,Sue is visiting a friend who has knowledge of three stores which sell Italian newspapers. ,21,22,1,,,1,,,,,,5,4
191,3,6,31.085,Bob told Sue where she could find italian newspapers.,21,36,1,,,,,,1,,,4,9
194,3,7,30.005,Bob told Sue these certain stores sell Italian newspapers ,21,27,1,,,1,,,,,,2,9
200,3,6,104.116,"Sue is standing infront of three stores, her friend Bob who she trust, told her she could buy Italian Newspapers at.",21,30,2,,,,,,1,,,4,6
